epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4425,1.49647,2.15714,1.72601,0.73024,0.64147,0.69251,0.4638,1.30174,1.26112,1.49655,0.0702542,0.00330508,0.00330508
2,34.2608,1.31464,1.46557,1.5303,0.6997,0.71678,0.71869,0.46125,1.32057,1.19308,1.56522,0.0401885,0.0065727,0.0065727
3,50.7371,1.39271,1.54439,1.61012,0.61106,0.58346,0.59911,0.35478,1.61931,1.78628,1.84476,0.0100568,0.00977431,0.00977431
4,66.9989,1.48574,1.70286,1.68787,0.67572,0.58044,0.63471,0.37695,1.56703,1.79563,1.80015,0.009703,0.009703,0.009703
5,83.3094,1.5155,1.74581,1.733,0.59229,0.5915,0.5789,0.33112,1.63135,2.13332,1.93063,0.009604,0.009604,0.009604
6,99.4645,1.49893,1.73018,1.7089,0.68017,0.61116,0.66209,0.36761,1.64383,1.70518,1.83651,0.009505,0.009505,0.009505
7,115.879,1.49787,1.70193,1.72356,0.61823,0.63575,0.66515,0.38495,1.60913,1.5532,1.84281,0.009406,0.009406,0.009406
8,132.264,1.46006,1.65059,1.70414,0.67691,0.69228,0.71569,0.3939,1.53422,1.63739,1.74009,0.009307,0.009307,0.009307
9,148.631,1.41552,1.6016,1.65905,0.76279,0.76528,0.80791,0.48497,1.42784,1.27524,1.65272,0.009208,0.009208,0.009208
10,164.989,1.41956,1.54005,1.65482,0.79833,0.72517,0.80719,0.50803,1.35665,1.10787,1.6159,0.009109,0.009109,0.009109
11,181.469,1.37884,1.49896,1.6279,0.77839,0.71815,0.78853,0.48982,1.39949,1.19835,1.60774,0.00901,0.00901,0.00901
12,197.806,1.36849,1.48553,1.62784,0.80377,0.74749,0.8075,0.50287,1.34765,1.12316,1.56709,0.008911,0.008911,0.008911
13,213.95,1.36891,1.45131,1.59956,0.77722,0.75544,0.82115,0.49705,1.41745,1.06161,1.58954,0.008812,0.008812,0.008812
14,230.218,1.32686,1.38055,1.57309,0.85099,0.78331,0.85411,0.549,1.29732,1.04107,1.52456,0.008713,0.008713,0.008713
15,246.562,1.31631,1.34937,1.56177,0.8699,0.81162,0.89744,0.57705,1.26245,0.91864,1.48385,0.008614,0.008614,0.008614
16,262.946,1.30888,1.35875,1.55855,0.84537,0.82049,0.87808,0.55595,1.28905,0.91768,1.47669,0.008515,0.008515,0.008515
17,279.231,1.28807,1.30133,1.54755,0.8876,0.86022,0.92004,0.57786,1.27997,0.80413,1.47556,0.008416,0.008416,0.008416
18,295.587,1.28723,1.29421,1.54422,0.86862,0.86027,0.90398,0.57402,1.23811,0.87007,1.46058,0.008317,0.008317,0.008317
19,312.011,1.25782,1.26841,1.51912,0.8897,0.86192,0.92496,0.58665,1.22181,0.79201,1.43478,0.008218,0.008218,0.008218
20,328.38,1.26526,1.25688,1.53016,0.88254,0.83128,0.90895,0.5938,1.21657,0.86057,1.42547,0.008119,0.008119,0.008119
21,344.639,1.24988,1.26331,1.52862,0.88808,0.85809,0.91885,0.60611,1.19069,0.76127,1.41306,0.00802,0.00802,0.00802
22,361.15,1.23724,1.21012,1.50958,0.86199,0.89029,0.92114,0.63262,1.13432,0.72931,1.36387,0.007921,0.007921,0.007921
23,377.399,1.2553,1.23361,1.52477,0.90187,0.88617,0.93354,0.6172,1.1529,0.76473,1.39619,0.007822,0.007822,0.007822
24,393.445,1.21032,1.17652,1.48143,0.91194,0.87393,0.93519,0.62767,1.18137,0.69431,1.4063,0.007723,0.007723,0.007723
